# Secciones según ArcelorMittal
# -----------------------------
#
# 2016-02-01 Pedro Biel
#
# http://sections.arcelormittal.com/products-services/products-ranges.html
#
# 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
#
# Perfil,nominal,g,h,b,tw,tf,r,A,hi,d,O,pmin,pmax,AL,AG,Iy,Wely,Wply,iy,Avz,Iz,Welz,Wplz,iz,ss,It,Iw
# --,--,kN/m,mm,mm,mm,mm,mm,cm²,mm,mm,--,mm,mm,m²/m,m²/t,cm4,cm³,cm³,cm,cm²,cm4,cm³,cm³,cm,mm,cm6,cm6
#
W,360x250x101,1.01,357,255,10.5,18.3,15,128.9,320,290,M27,91,165,1.687,16.67,30150,1689,1880,15.29,42.98,5062,397,605.5,6.27,64.67,125.3,1450000
W,360x250x110,1.1,360,256,11.4,19.9,15,140.3,320,290,M27,91,166,1.695,15.39,33090,1838,2055,15.36,46.67,5570,435.2,664.2,6.3,68.77,160.3,1609000
W,360x250x122,1.22,363,257,13,21.7,15,155,320,290,M27,93,167,1.702,13.99,36530,2013,2266,15.35,52.81,6147,478.4,732,6.3,73.97,211.8,1788000
W,360x370x134,1.34,356,369,11.2,18,15,170.6,320,290,M27,100,264,2.14,15.98,41510,2332,2562,15.6,45.19,15080,817.3,1237,9.4,64.77,168.8,4305000
W,360x370x147,1.47,360,370,12.3,19.8,15,187.9,320,290,M27,100,264,2.15,14.58,46290,2572,2838,15.7,49.72,16720,903.9,1369,9.43,69.47,223.7,4836000
W,360x370x162,1.62,364,371,13.3,21.8,15,206.3,320,290,M27,102,266,2.16,13.34,51540,2832,3139,15.81,53.98,18560,1001,1516,9.49,74.47,295.5,5432000
W,360x370x179,1.79,368,373,15,23.9,15,228.3,320,290,M27,104,268,2.172,12.12,57440,3122,3482,15.86,60.72,20680,1109,1683,9.52,80.37,393.8,6119000
W,360x370x196,1.96,372,374,16.4,26.2,15,250.3,320,290,M27,104,268,2.181,11.1,63630,3421,3837,15.94,66.5,22860,1222,1856,9.56,86.37,517.1,6829000
W,360x410x216,2.16,375,394,17.3,27.7,15,275.5,320,290,M27,106,288,2.266,10.48,71140,3794,4262,16.07,70.32,28250,1434,2176,10.13,90.27,637.3,8515000
W,360x410x237,2.37,380,395,18.9,30.2,15,300.9,320,290,M27,108,290,2.276,9.637,78780,4146,4686,16.18,77.1,31040,1572,2387,10.16,96.87,825.5,9489000
W,360x410x262,2.62,387,398,21.1,33.3,15,334.6,320,290,M27,110,292,2.298,8.749,89410,4620,5260,16.35,86.55,35020,1760,2676,10.23,105.3,1116,10940000
W,360x410x287,2.87,393,399,22.6,36.6,15,366.3,320,290,M27,112,294,2.311,8.038,99710,5074,5813,16.5,93.46,38780,1944,2957,10.29,113.4,1464,12300000
W,360x410x314,3.14,399,401,24.9,39.6,15,399.2,320,290,M27,114,296,2.326,7.425,110200,5525,6374,16.62,103.3,42600,2125,3236,10.33,121.7,1870,13740000
W,360x410x347,3.47,407,404,27.2,43.7,15,442,320,290,M27,116,298,2.35,6.773,124900,6140,7139,16.81,113.9,48090,2380,3629,10.43,132.2,2510,15850000
W,360x410x382,3.82,416,406,29.8,48,15,487.1,320,290,M27,118,300,2.371,6.2,141300,6794,7965,17.03,126,53620,2641,4031,10.49,143.4,3326,18130000
W,360x410x421,4.21,425,409,32.8,52.6,15,537.1,320,290,M27,122,304,2.395,5.68,159600,7510,8880,17.24,139.9,60080,2938,4489,10.58,155.6,4398,20800000
W,360x410x463,4.63,435,412,35.8,57.4,15,589.5,320,290,M27,124,306,2.421,5.231,180200,8283,9878,17.48,154.3,67040,3254,4978,10.66,168.2,5735,23850000
W,360x410x509,5.09,446,416,39.1,62.7,15,649,320,290,M27,128,310,2.452,4.813,204500,9172,11030,17.75,170.6,75400,3625,5552,10.78,182.1,7513,27630000
W,360x410x551,5.51,455,418,42,67.6,15,701.4,320,290,M27,132,312,2.472,4.49,226100,9939,12050,17.95,184.9,82490,3947,6051,10.85,194.8,9410,30870000
W,360x410x592,5.92,465,421,45,72.3,15,754.9,320,290,M27,134,316,2.498,4.216,250200,10760,13140,18.2,200.3,90170,4284,6574,10.93,207.2,11560,34670000
W,360x410x634,6.34,474,424,47.6,77.1,15,808,320,290,M27,140,312,2.523,3.978,274200,11570,14220,18.42,214,98250,4634,7117,11.03,219.4,14020,38570000
W,360x410x677,6.77,483,428,51.2,81.5,15,863.4,320,290,M27,144,316,2.55,3.762,299500,12400,15350,18.62,231.9,106900,4994,7680,11.13,231.8,16790,42920000
W,360x410x744,7.44,498,432,55.6,88.9,15,948.1,320,290,M27,148,320,2.587,3.476,342100,13740,17170,19,256.1,119900,5552,8549,11.25,251,21840,49980000
W,360x410x818,8.18,514,437,60.5,97,15,1043,320,290,M27,154,326,2.629,3.21,392200,15260,19260,19.39,283.3,135500,6203,9561,11.4,272.1,28510,58650000
W,360x410x900,9,531,442,65.9,106,15,1149,320,290,M27,158,330,2.672,2.962,450200,16960,21620,19.79,313.8,153300,6938,10710,11.55,295.5,37350,68890000
W,360x410x990,9.9,550,448,71.9,115,15,1262,320,290,M27,164,336,2.722,2.747,518900,18870,24280,20.27,349.2,173400,7739,11960,11.72,319.5,48210,81530000
W,360x410x1086,10.86,569,454,78,125,15,1386,320,290,M27,170,342,2.772,2.548,595700,20940,27210,20.73,385.8,196200,8645,13380,11.9,345.6,62290,96080000
W,360x410x1202,12.02,580,471,95,130,15,1530,320,290,M27,188,360,2.828,2.353,663600,22880,30020,20.82,469.6,228700,9712,15150,12.22,373,79230,114600000
W,360x410x1299,12.99,600,476,100,140,15,1650,320,290,M27,192,364,2.878,2.215,754600,25150,33250,21.35,505.2,254400,10690,16670,12.4,398,98140,133100000
W,410x140x38.8,0.388,399,140,6.4,8.8,10,49.91,381,361,M12,68,82,1.328,33.9,12620,632.6,727.8,15.93,27.4,403.5,57.65,90.55,2.85,35.67,11.17,153200
W,410x140x46.1,0.461,403,140,7,11.2,10,58.86,381,361,M12,68,82,1.335,28.89,15550,771.9,883.6,16.26,30.49,513.6,73.37,114.9,2.95,41.11,19.25,196600
W,410x180x53,0.53,403,177,7.5,10.9,10,68.03,381,361,M22,86,90,1.482,27.75,18600,922.9,1045,16.54,32.41,1009,114,176.6,3.85,41.01,22.75,387200
W,410x180x60,0.6,407,178,7.7,12.8,10,75.79,381,361,M22,86,90,1.493,25.1,21570,1060,1194,16.87,33.77,1205,135.4,209,3.99,45.02,32.81,467400
W,410x180x67,0.67,410,179,8.8,14.4,10,85.96,381,361,M22,86,92,1.501,22.25,24530,1196,1354,16.91,38.39,1379,154.1,238.6,4.01,49.28,46.9,538500
W,410x180x75,0.75,413,180,9.7,16,10,95.42,381,361,M22,88,92,1.509,20.15,27460,1330,1510,16.98,42.37,1559,173.2,268.7,4.05,53.37,63.79,612800
W,410x180x85,0.85,417,181,10.9,18.2,10,108.2,381,361,M22,90,94,1.519,17.88,31530,1512,1725,17.06,48.05,1803,199.3,310.1,4.08,59.04,93.24,715200
W,410x260x100,1,415,260,10,16.9,10,126.9,381,361,M27,90,170,1.833,18.4,39760,1916,2129,17.7,44.05,4954,381.1,581.4,6.25,55.52,99.7,1961000
W,410x260x114,1.14,420,261,11.6,19.3,10,145.8,381,361,M27,92,171,1.844,16.1,46140,2197,2456,17.79,51.2,5725,438.7,670.9,6.27,61.92,149.4,2296000
W,410x260x132,1.32,425,263,13.3,22.2,10,168.3,381,361,M27,93,173,1.858,14.07,53830,2533,2850,17.89,58.87,6739,512.5,785.4,6.33,69.42,227.1,2730000
W,410x260x149,1.49,431,265,14.9,25,10,190.1,381,361,M27,95,175,1.875,12.56,61840,2870,3247,18.04,66.35,7765,586.1,899.8,6.39,76.62,324.1,3195000
W,460x150x52,0.52,450,152,7.6,10.8,10,66.25,428,408,M16,76,82,1.476,28.37,21200,942,1088,17.89,36.4,634,83.43,131.5,3.09,40.92,21.24,304800
W,460x150x60,0.6,455,153,8,13.3,10,75.83,428,408,M16,76,84,1.489,25.01,25480,1120,1284,18.33,38.85,796.1,104.1,163.1,3.24,46.32,33.58,387200
W,460x150x68,0.68,459,154,9.1,15.4,10,87.26,428,408,M16,78,84,1.499,21.88,29680,1293,1487,18.44,44.31,940.5,122.1,192.1,3.28,51.62,51.07,461200
W,460x190x74,0.74,457,190,9,14.5,10,94.48,428,408,M24,92,96,1.639,22.1,33260,1456,1650,18.75,43.67,1661,174.8,271,4.19,49.74,52.03,811400
W,460x190x82,0.82,460,191,9.9,16,10,104.4,428,408,M24,92,98,1.647,20.11,37000,1608,1829,18.83,48.06,1862,195,303,4.22,53.63,69.55,915700
W,460x190x89,0.89,463,192,10.5,17.7,10,113.7,428,408,M24,94,98,1.656,18.55,40960,1769,2013,18.96,51.33,2093,218,338.8,4.29,57.66,91.36,1035000
W,460x190x97,0.97,466,193,11.4,19,10,123,428,408,M24,94,100,1.664,17.24,44680,1917,2189,19.02,55.76,2282,237.8,370.4,4.31,61.35,113.9,1137000
W,460x190x106,1.06,469,194,12.6,20.6,10,134.7,428,408,M24,96,100,1.672,15.81,48790,2081,2385,19.04,61.34,2515,259.2,405.3,4.32,65.49,146.6,1260000
W,460x280x113,1.13,463,280,10.8,17.3,10,144,428,408,M27,90,174,2.007,17.76,55600,2402,2673,19.65,52.45,6335,452.5,691.3,6.63,57.12,118.8,3143000
W,460x280x128,1.28,467,282,12.2,19.6,10,163.6,428,408,M27,90,176,2.02,15.73,63690,2728,3049,19.73,59.32,7333,520.1,795.9,6.7,63.11,172.6,3666000
W,460x280x144,1.44,472,283,13.6,22.1,10,184.1,428,408,M27,92,178,2.032,14.06,72600,3076,3454,19.86,66.42,8358,590.7,905.5,6.74,69.51,245.5,4224000
W,460x280x158,1.58,476,284,15,23.9,10,200.8,428,408,M27,94,178,2.041,12.94,79620,3346,3774,19.91,73.41,9137,643.5,988.7,6.75,74.51,314.1,4662000
W,460x280x177,1.77,482,286,16.6,26.9,10,225.8,428,408,M27,94,180,2.058,11.61,91040,3777,4282,20.07,81.97,10510,734.7,1131,6.82,82.16,445.2,5431000
W,460x280x193,1.93,489,283,17,30.5,10,246.2,428,408,M27,97,193,2.059,10.65,102400,4186,4754,20.39,84.9,11540,815.5,1253,6.85,89.72,607.3,6055000
W,460x280x213,2.13,495,285,18.5,33.5,10,271,428,408,M27,99,195,2.076,9.758,114300,4619,5272,20.54,92.94,12950,908.7,1398,6.91,97.22,803.3,6882000
W,460x280x235,2.35,501,287,20.6,36.6,10,299.1,428,408,M27,101,197,2.092,8.909,127300,5083,5839,20.63,103.8,14450,1007,1554,6.95,105.5,1059,7775000
W,460x280x260,2.6,509,289,22.6,40.4,10,331.1,428,408,M27,103,199,2.112,8.123,143700,5646,6525,20.83,114.8,16300,1128,1743,7.01,115.1,1423,8922000
W,530x165x66,0.66,525,165,8.9,11.4,13,83.77,501.9,475.9,M22,89,93,1.67,25.39,35100,1337,1563,20.47,50.13,857.3,103.9,166.2,3.2,46.93,33.29,562900
W,530x165x74,0.74,529,166,9.7,13.6,13,95.28,501.9,475.9,M22,90,94,1.68,22.47,41100,1554,1810,20.77,54.98,1042,125.5,200.3,3.31,52.13,49.2,688600
W,530x165x85,0.85,535,166,10.3,16.5,13,107.9,501.9,475.9,M22,90,94,1.691,19.96,48580,1816,2105,21.22,59.15,1264,152.2,241.8,3.42,58.53,74.55,845500
W,530x210x72,0.72,524,207,9,10.9,13,91.8,501.9,475.9,M27,94,104,1.836,25.48,40100,1530,1761,20.9,50.46,1615,156.1,244.8,4.2,46.03,35.41,1061000
W,530x210x82,0.82,528,209,9.5,13.3,13,104.7,501.9,475.9,M27,94,104,1.851,22.52,47700,1807,2064,21.35,53.81,2028,194.1,302.9,4.4,51.33,52.96,1340000
W,530x210x92,0.92,533,209,10.2,15.6,13,117.8,501.9,475.9,M27,94,104,1.859,20.1,55240,2073,2362,21.67,58.07,2379,227.7,354.8,4.5,56.59,76.96,1589000
W,530x210x101,1.01,537,210,10.9,17.4,13,129.3,501.9,475.9,M27,94,104,1.87,18.43,61760,2300,2623,21.85,62.72,2692,256.4,399.9,4.56,60.95,102.9,1813000
W,530x210x109,1.09,539,211,11.6,18.8,13,138.9,501.9,475.9,M27,96,106,1.876,17.2,66730,2476,2826,21.93,66.47,2951,279.7,436.5,4.61,64.39,127.4,1991000
W,530x210x123,1.23,544,212,13.1,21.2,13,157,501.9,475.9,M27,96,106,1.887,15.31,76100,2798,3208,22.02,75.34,3377,318.6,499.2,4.64,70.71,182.3,2300000
W,530x210x138,1.38,549,214,14.7,23.6,13,176.2,501.9,475.9,M27,98,108,1.902,13.75,86160,3139,3617,22.1,84.98,3870,361.7,569.1,4.68,77.16,254,2660000
W,610x180x82,0.82,599,178,10,12.8,13,104.4,573,547,M24,90,100,1.868,22.8,56030,1871,2199,23.17,63.4,1209,135.8,218.3,3.4,50.83,50.58,1034000
W,610x180x92,0.92,603,179,10.9,15,13,117.6,573,547,M24,91,101,1.878,20.34,64680,2145,2515,23.45,69.44,1441,161,258.5,3.5,56.13,72.81,1239000
W,610x230x101,1.01,603,228,10.5,14.9,13,129.6,573,547,M27,94,122,2.075,20.4,76470,2536,2905,24.27,67.31,2950,258.8,404.4,4.77,55.57,79.88,2545000
W,610x230x113,1.13,608,228,11.2,17.3,13,144.6,573,547,M27,94,122,2.083,18.36,87570,2881,3290,24.62,71.99,3425,300.5,468.8,4.87,61.01,113.3,2981000
W,610x230x125,1.25,612,229,11.9,19.6,13,159.4,573,547,M27,96,124,2.094,16.74,98650,3224,3679,24.86,77.28,3932,343.4,535.6,4.96,66.37,156,3442000
W,610x230x140,1.4,617,230,13.1,22.2,13,178.6,573,547,M27,96,124,2.105,15.02,112000,3630,4150,25.05,85.02,4514,392.5,613.1,5.03,72.71,220,3982000
W,610x230x153,1.53,623,229,14,24.9,13,195.7,573,547,M27,98,124,2.112,13.74,125200,4019,4602,25.29,91.66,4998,436.5,682.4,5.05,79.03,297.5,4457000
W,610x325x155,1.55,611,324,12.7,19,13,197.3,573,547,M27,96,218,2.47,15.95,129000,4222,4728,25.57,81.57,10780,666,1022,7.39,65.93,197.7,9437000
W,610x325x174,1.74,616,325,14,21.6,13,222,573,547,M27,98,220,2.482,14.24,147200,4778,5362,25.74,90.28,12370,761,1170,7.46,72.43,283.2,10920000
W,610x325x195,1.95,622,327,15.4,24.4,13,249.3,573,547,M27,98,222,2.499,12.77,167900,5398,6074,25.95,99.83,14240,871,1340,7.56,79.43,400.9,12700000
W,610x325x217,2.17,628,328,16.5,27.7,13,277.6,573,547,M27,100,222,2.513,11.53,190800,6076,6848,26.21,107.7,16310,995,1531,7.67,87.13,564.6,14680000
W,610x325x241,2.41,635,329,17.9,31,13,308,573,547,M27,100,224,2.528,10.46,215400,6785,7671,26.45,117.6,18430,1120,1725,7.74,95.13,776.5,16780000
W,610x325x262,2.62,641,327,19,34,13,332.7,573,547,M27,102,222,2.53,9.687,236000,7363,8349,26.63,125.6,19850,1214,1871,7.72,102.2,998.1,18250000
W,610x325x285,2.85,647,329,20.6,37.1,13,363.6,573,547,M27,104,224,2.546,8.923,260700,8059,9175,26.78,136.7,22060,1341,2071,7.79,110,1295,20480000
W,610x325x307,3.07,653,330,22.1,39.9,13,391.5,573,547,M27,104,224,2.559,8.329,283700,8688,9929,26.92,147.3,23950,1452,2245,7.82,117.1,1608,22460000
W,610x325x341,3.41,661,333,24.4,43.9,13,433.7,573,547,M27,108,228,2.583,7.587,318300,9630,11070,27.09,163.4,27090,1627,2522,7.9,127.4,2153,25720000
W,610x325x372,3.72,669,335,26.4,48,13,474.3,573,547,M27,110,230,2.603,6.991,353200,10560,12190,27.27,177.9,30170,1801,2796,7.98,137.6,2802,29000000
W,610x325x415,4.15,679,338,29.5,53.1,13,529.4,573,547,M27,114,232,2.629,6.326,399800,11780,13690,27.48,199.9,34300,2030,3160,8.05,150.9,3824,33470000
W,610x325x455,4.55,689,340,32,57.9,13,578.6,573,547,M27,116,234,2.652,5.838,444500,12903,15093,27.72,218.5,38090,2241,3496,8.11,163,4948,37770000
W,610x325x498,4.98,699,343,35.1,63,13,634.8,573,547,M27,120,238,2.677,5.373,494700,14150,16670,27.92,241.1,42580,2483,3885,8.19,176.3,6420,42850000
W,610x325x551,5.51,711,347,38.6,69.1,13,702.1,573,547,M27,122,242,2.71,4.918,557500,15682,18599,28.18,267.2,48400,2790,4377,8.3,192,8525,49570000
W,690x250x125,1.25,678,253,11.7,16.3,15,159.9,645.9,615.9,M27,100,148,2.319,18.47,118500,3495,4009,27.22,84.24,4410,348.6,545.5,5.25,61.87,119.4,4816000
W,690x250x140,1.4,684,254,12.4,18.9,15,178.1,645.9,615.9,M27,100,148,2.333,16.69,136100,3979,4549,27.64,90.07,5174,407.4,636.4,5.39,67.77,168.4,5709000
W,690x250x152,1.52,688,254,13.1,21.1,15,193.7,645.9,615.9,M27,102,148,2.34,15.39,150600,4378,5002,27.88,95.63,5777,454.9,710.3,5.46,72.87,221.4,6408000
W,690x250x170,1.7,693,256,14.5,23.6,15,216.4,645.9,615.9,M27,102,150,2.355,13.86,169900,4904,5618,28.02,106.1,6618,517,809.3,5.53,79.27,306.7,7393000
W,690x250x192,1.92,702,254,15.5,27.9,15,243.8,645.9,615.9,M27,104,148,2.363,12.35,197900,5639,6457,28.49,114.8,7643,601.8,941,5.6,88.87,463.2,8657000
W,690x360x217,2.17,695,355,15.4,24.8,15,277.4,645.9,615.9,M27,102,250,2.753,12.64,234300,6742,7566,29.06,112.6,18510,1043,1603,8.17,82.57,458.6,20770000
W,690x360x240,2.4,701,356,16.8,27.4,15,305.6,645.9,615.9,M27,104,250,2.767,11.53,261200,7451,8386,29.23,123.3,20630,1159,1784,8.22,89.17,612.3,23370000
W,690x360x265,2.65,706,358,18.4,30.2,15,337,645.9,615.9,M27,106,252,2.781,10.52,290300,8223,9285,29.35,135.3,23130,1292,1992,8.29,96.37,816.8,26370000
W,690x360x289,2.89,714,356,19,34,15,366.8,645.9,615.9,M27,106,250,2.788,9.685,324700,9096,10270,29.76,141.3,25610,1439,2215,8.36,104.6,1099,29560000
W,690x360x323,3.23,722,359,21.1,38.1,15,411.8,645.9,615.9,M27,110,254,2.812,8.7,369500,10240,11620,29.96,157.7,29430,1640,2530,8.45,114.9,1543,34350000
W,690x360x350,3.5,728,360,23.1,40.9,15,445.7,645.9,615.9,M27,112,254,2.824,8.072,401900,11040,12590,30.03,172.9,31870,1771,2739,8.46,122.5,1927,37540000
W,690x360x384,3.84,736,362,24.9,45,15,488.6,645.9,615.9,M27,112,256,2.844,7.416,447400,12160,13920,30.26,187.5,35670,1971,3052,8.54,132.5,2541,42470000
W,690x360x419,4.19,744,364,26.9,49,15,532.4,645.9,615.9,M27,114,258,2.864,6.854,493900,13280,15260,30.46,203.6,39500,2170,3366,8.61,142.5,3270,47560000
W,690x360x457,4.57,752,367,29.5,53.1,15,582.2,645.9,615.9,M27,118,262,2.887,6.317,545000,14500,16760,30.6,224,43890,2392,3720,8.68,153.3,4200,53420000
W,690x360x500,5,762,369,32,57.9,15,636,645.9,615.9,M27,120,264,2.91,5.829,604700,15870,18450,30.83,244.6,48670,2638,4111,8.75,165.4,5433,60100000
W,690x360x548,5.48,772,372,35.1,63,15,697.4,645.9,615.9,M27,124,266,2.936,5.363,671400,17390,20340,31.03,269.7,54290,2919,4562,8.82,178.7,7047,67930000
W,690x360x802,8.02,826,387,50,89.9,15,1021,645.9,615.9,M27,142,276,3.074,3.836,1062000,25710,30890,32.25,397,87530,4524,7141,9.26,247.4,20740,117600000
W,760x265x134,1.34,750,264,11.9,15.5,17,169.9,719.1,685.1,M27,106,160,2.503,18.77,150400,4011,4632,29.75,95.16,4766,361.1,568,5.3,62.82,121.8,6411000
W,760x265x147,1.47,753,265,13.2,17,17,187.5,719.1,685.1,M27,106,160,2.51,17.06,166100,4411,5110,29.76,105.4,5289,399.2,630.8,5.31,67.12,161.5,7141000
W,760x265x161,1.61,758,266,13.8,19.3,17,204.4,719.1,685.1,M27,106,160,2.523,15.72,186100,4909,5666,30.17,111,6070,456.6,719.7,5.45,72.32,211.7,8259000
W,760x265x173,1.73,762,267,14.4,21.6,17,221.3,719.1,685.1,M27,106,162,2.534,14.58,205800,5402,6218,30.49,116.4,6873,514.9,809.9,5.57,77.52,273.6,9391000
W,760x265x185,1.85,766,267,14.9,23.6,17,235.6,719.1,685.1,M27,106,162,2.541,13.74,223000,5821,6691,30.76,121.1,7510,562.5,883.9,5.65,82.02,336.7,10320000
W,760x265x196,1.96,770,268,15.6,25.4,17,250.8,719.1,685.1,M27,108,162,2.552,12.96,240300,6241,7174,30.95,127.3,8175,610.1,958.8,5.71,86.32,408.9,11290000
W,760x265x220,2.2,779,266,16.5,30,17,280.7,719.1,685.1,M27,108,160,2.56,11.62,278200,7143,8198,31.48,136.3,9440,709.9,1113,5.8,96.42,609,13200000
W,840x295x176,1.76,835,292,14,18.8,18,224.2,797.1,761.1,M27,108,186,2.779,15.79,246400,5901,6816,33.15,123.8,7823,535.8,843.6,5.91,72.69,226.9,12990000
W,840x295x193,1.93,840,292,14.7,21.7,18,246.6,797.1,761.1,M27,108,186,2.788,14.4,278400,6630,7627,33.6,130.9,9029,618.5,971.3,6.05,79.19,309.9,15070000
W,840x295x210,2.1,846,293,15.4,24.4,18,268.5,797.1,761.1,M27,110,188,2.802,13.29,310700,7346,8430,34.02,138.1,10260,700.2,1098,6.18,85.29,409,17260000
W,840x295x226,2.26,851,294,16.1,26.8,18,288.7,797.1,761.1,M27,110,188,2.815,12.42,340100,7992,9163,34.32,145.1,11380,774.3,1213,6.28,90.79,517.5,19280000
W,840x295x251,2.51,859,292,17,31,18,319.3,797.1,761.1,M27,112,186,2.821,11.25,386500,8999,10300,34.79,154.7,12900,883.6,1383,6.36,100.1,737.6,22050000
W,920x310x201,2.01,903,304,15.2,20.1,19,256.5,862.8,824.8,M27,112,198,2.959,14.7,325200,7203,8356,35.61,144.9,9442,621.2,982.3,6.07,77.66,298,18340000
W,920x310x223,2.23,911,304,15.9,23.9,19,285.7,862.8,824.8,M27,112,198,2.974,13.26,376800,8273,9540,36.32,153.2,11220,738.5,1163,6.27,85.96,426.8,22020000
W,920x310x238,2.38,915,305,16.5,25.9,19,303.5,862.8,824.8,M27,112,200,2.984,12.53,406400,8883,10230,36.59,159.6,12290,805.6,1267,6.36,90.56,518.8,24200000
W,920x310x253,2.53,919,306,17.3,27.9,19,323.2,862.8,824.8,M27,114,200,2.995,11.8,437500,9520,10960,36.79,167.9,13370,873.6,1375,6.43,95.36,630.9,26450000
W,920x310x271,2.71,923,307,18.4,30,19,346.1,862.8,824.8,M27,114,202,3.005,11.06,471600,10220,11780,36.91,178.8,14520,945.8,1491,6.48,100.7,775,28840000
W,920x310x289,2.89,927,308,19.4,32,19,367.6,862.8,824.8,M27,116,202,3.015,10.45,504500,10880,12570,37.04,188.9,15640,1016,1603,6.52,105.7,929.8,31210000
W,920x310x313,3.13,932,309,21.1,34.5,19,398.4,862.8,824.8,M27,118,204,3.025,9.673,548200,11760,13630,37.1,205.6,17040,1103,1748,6.54,112.4,1171,34160000
W,920x310x345,3.45,943,308,22.1,39.9,19,439.7,862.8,824.8,M27,118,202,3.041,8.812,625600,13270,15350,37.72,217.8,19520,1267,2003,6.66,124.2,1658,39620000
W,920x310x381,3.81,951,310,24.4,43.9,19,485.9,862.8,824.8,M27,120,204,3.061,8.024,696800,14650,17020,37.87,241.1,21910,1414,2243,6.72,134.5,2213,44840000
W,920x310x425,4.25,961,313,26.9,49,19,542,862.8,824.8,M27,122,208,3.088,7.257,788200,16400,19130,38.13,267,25190,1610,2562,6.82,147.2,3054,52070000
W,920x310x474,4.74,971,316,30,54.1,19,603.9,862.8,824.8,M27,126,210,3.113,6.568,885700,18240,21390,38.3,298.7,28660,1814,2901,6.89,160.5,4147,59800000
W,920x310x521,5.21,981,319,33,58.9,19,663.7,862.8,824.8,M27,128,214,3.139,6.025,982400,20030,23610,38.47,329.8,32140,2015,3238,6.96,173.1,5405,67740000
W,920x310x576,5.76,993,322,36.1,65,19,733.2,862.8,824.8,M27,132,216,3.169,5.506,1102000,22190,26280,38.76,362.8,36520,2268,3658,7.06,188.4,7227,77870000
W,920x420x344,3.44,927,418,19.3,32,19,437.2,862.8,824.8,M27,126,312,3.455,10.07,645000,13920,15700,38.41,188,39010,1867,2880,9.45,105.6,1159,78120000
W,920x420x368,3.68,931,419,20.3,34.3,19,465.6,862.8,824.8,M27,128,314,3.465,9.48,692200,14870,16790,38.56,198.2,42120,2010,3104,9.51,111.2,1408,84670000
W,920x420x390,3.9,936,420,21.3,36.6,19,494.3,862.8,824.8,M27,128,314,3.477,8.96,741700,15850,17920,38.74,208.6,45270,2156,3331,9.57,116.8,1691,91550000
W,920x420x420,4.2,943,422,22.5,39.9,19,534.1,862.8,824.8,M27,130,316,3.496,8.34,813300,17250,19530,39.02,221.5,50070,2373,3667,9.68,124.6,2151,102100000
W,920x420x449,4.49,948,423,24,42.7,19,571.4,862.8,824.8,M27,130,318,3.507,7.82,874700,18450,20950,39.13,236.6,53970,2552,3949,9.72,131.7,2627,110600000
W,920x420x491,4.91,957,422,25.9,47,19,623.3,862.8,824.8,M27,132,316,3.518,7.189,966300,20200,23000,39.37,256.6,59000,2796,4335,9.73,142.2,3441,122200000
W,920x420x537,5.37,965,425,28.4,51.1,19,682.5,862.8,824.8,M27,136,320,3.541,6.609,1066000,22080,25270,39.51,282.1,65550,3085,4795,9.8,152.9,4447,136900000
W,920x420x588,5.88,975,427,31,55.9,19,748.1,862.8,824.8,M27,138,322,3.563,6.068,1181000,24230,27840,39.74,309.3,72760,3408,5310,9.86,165.1,5859,153200000
W,920x420x656,6.56,987,431,34.5,62,19,835.3,862.8,824.8,M27,144,320,3.596,5.485,1335000,27060,31270,39.98,345.8,83040,3853,6022,9.97,180.8,7950,177600000
W,920x420x725,7.25,999,434,38.1,68.1,19,922.9,862.8,824.8,M27,148,323,3.625,5.004,1492000,29880,34740,40.21,383.6,93200,4295,6734,10.05,196.6,10570,201900000
W,920x420x787,7.87,1011,437,40.9,73.9,19,1002,862.8,824.8,M27,152,326,3.656,4.647,1646000,32560,38010,40.53,414.5,103300,4728,7425,10.15,211,13430,226800000
W,920x420x970,9.7,1043,446,50,89.9,19,1237,862.8,824.8,M27,160,334,3.737,3.85,2100000,40270,47660,41.21,513.8,133900,6002,9490,10.4,252.1,24320,304000000
W,920x420x1077,10.77,1061,451,55,99.1,19,1372,863.2,825.2,M27,166,340,3.784,3.514,2377000,44790,53390,41.63,570,152700,6773,10740,10.55,275.5,33170,350800000
W,920x420x1194,11.94,1081,457,60.5,109,19,1522,863.2,825.2,M27,172,346,3.837,3.212,2694000,49830,59830,42.08,632.7,175000,7660,12180,10.72,300.8,44370,409700000
W,920x420x1269,12.69,1093,461,64,115.1,19,1617,863.2,825.2,M27,174,350,3.87,3.049,2900000,53040,63960,42.35,672.9,189900,8237,13130,10.84,316.5,52500,449700000
W,920x420x1377,13.77,1093,473,76.7,115.1,19,1754,863.2,825.2,M27,188,362,3.893,2.827,3034000,55500,67680,41.59,797.2,206300,8723,14160,10.85,329.2,61190,485700000
W,1000x300x222,2.22,970,300,16,21.1,30,282.8,928.1,868.1,M27,134,194,3.056,13.77,407700,8405,9803,37.97,172.2,9546,636.4,1020,5.81,93.35,406,21370000
W,1000x300x249,2.49,980,300,16.5,26,30,316.8,928.1,868.1,M27,134,194,3.075,12.37,481100,9818,11350,38.97,180.7,11750,783.6,1245,6.09,103.6,584.4,26620000
