# Secciones según ArcelorMittal
# -----------------------------
#
# 2016-02-01 Pedro Biel
#
# http://sections.arcelormittal.com/products-services/products-ranges.html
#
# 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
#
# Perfil,nominal,g,h,b,tw,tf,r,A,hi,d,O,pmin,pmax,AL,AG,Iy,Wely,Wply,iy,Avz,Iz,Welz,Wplz,iz,ss,It,Iw
# --,--,kN/m,mm,mm,mm,mm,mm,cm²,mm,mm,--,mm,mm,m²/m,m²/t,cm4,cm³,cm³,cm,cm²,cm4,cm³,cm³,cm,mm,cm6,cm6
#
HEC,240,1.19,255,244,14,24.5,21,152.2,206,164,M27,112,142,1.422,11.9,17330,1359,1564,10.67,46.35,5942,487.1,743.8,6.25,87.6,288.7,787900
HEM,240,1.57,270,248,18,32,21,199.6,206,164,M27,116,146,1.46,9.318,24290,1799,2117,11.03,60.07,8153,657.5,1006,6.39,106.6,627.9,1152000
HEAA,260,0.541,244,260,6.5,9.5,24,69,225,177,M27,110,158,1.474,27.22,7981,654.1,714.5,10.76,24.75,2788,214.5,327.7,6.36,53.62,30.31,382600
HEA,260,0.682,250,260,7.5,12.5,24,86.8,225,177,M27,110,158,1.484,21.77,10450,836.4,919.8,10.97,28.76,3668,282.1,430.2,6.5,60.62,52.37,516400
HEB,260,0.93,260,260,10,17.5,24,118.4,225,177,M27,114,158,1.499,16.12,14920,1148,1283,11.22,37.59,5135,395,602.2,6.58,73.12,123.8,753700
HEC,260,1.32,275,264,14,25,24,168.4,225,177,M27,118,162,1.537,11.63,22590,1643,1880,11.58,51.94,7680,581.8,888.3,6.75,92.12,336.4,1198000
HEM,260,1.72,290,268,18,32.5,24,219.6,225,177,M27,122,166,1.575,9.133,31310,2159,2524,11.94,66.89,10450,779.7,1192,6.9,111.1,719,1728000
HEAA,280,0.612,264,280,7,10,24,78,244,196,M27,110,178,1.593,26.01,10560,799.8,873.1,11.63,27.52,3664,261.7,399.4,6.85,55.12,36.22,590100
HEA,280,0.764,270,280,8,13,24,97.3,244,196,M27,112,178,1.603,20.99,13670,1013,1112,11.86,31.74,4763,340.2,518.1,7,62.12,62.1,785400
HEB,280,1.03,280,280,10.5,18,24,131.4,244,196,M27,114,178,1.618,15.69,19270,1376,1534,12.11,41.09,6595,471,717.6,7.09,74.62,143.7,1130000
HEC,280,1.45,295,284,14.5,25.5,24,185.2,244,196,M27,118,182,1.656,11.39,28810,1953,2225,12.47,56.26,9750,686.6,1047,7.26,93.62,382.5,1768000
HEM,280,1.89,310,288,18.5,33,24,240.2,244,196,M27,122,186,1.694,8.984,39550,2551,2966,12.83,72.03,13160,914.1,1397,7.4,112.6,807.3,2520000
HEAA,300,0.698,283,300,7.5,10.5,27,88.9,262,208,M27,116,198,1.705,24.42,13800,975.6,1065,12.46,32.37,4734,315.6,482.3,7.3,60.13,49.35,877200
HEA,300,0.883,290,300,8.5,14,27,112.5,262,208,M27,118,198,1.717,19.43,18260,1260,1383,12.74,37.28,6310,420.6,641.2,7.49,68.13,85.17,1200000
HEB,300,1.17,300,300,11,19,27,149.1,262,208,M27,120,198,1.732,14.8,25170,1678,1869,12.99,47.43,8563,570.9,870.1,7.58,80.63,185,1688000
HEC,300,1.77,320,305,16,29,27,225.1,262,208,M27,126,204,1.782,10.08,40950,2559,2927,13.49,68.48,13736,900.7,1374,7.81,105.6,598.3,2903000
HEM,300,2.38,340,310,21,39,27,303.1,262,208,M27,132,208,1.832,7.699,59200,3482,4078,13.98,90.53,19400,1252,1913,8,130.6,1408,4386000
HEAA,320,0.742,301,300,8,11,27,94.6,279,225,M27,118,198,1.74,23.43,16450,1093,1196,13.19,35.4,4959,330.6,505.7,7.24,61.63,55.87,1041000
HEA,320,0.976,310,300,9,15.5,27,124.4,279,225,M27,118,198,1.756,17.98,22930,1479,1628,13.58,41.13,6985,465.7,709.7,7.49,71.63,108,1512000
HEB,320,1.27,320,300,11.5,20.5,27,161.3,279,225,M27,122,198,1.771,13.98,30820,1926,2149,13.82,51.77,9239,615.9,939.1,7.57,84.13,225.1,2069000
HEC,320,1.86,340,305,16,30.5,27,236.9,279,225,M27,126,204,1.822,9.796,48710,2865,3274,14.34,72.25,14446,947,1445,7.81,108.6,679.1,3454000
HEM,320,2.45,359,309,21,40,27,312,279,225,M27,132,204,1.866,7.616,68130,3796,4435,14.78,94.85,19710,1276,1951,7.95,132.6,1501,5004000
HEAA,340,0.789,320,300,8.5,11.5,27,100.5,297,243,M27,118,198,1.777,22.52,19550,1222,1341,13.95,38.69,5185,345.6,529.3,7.18,63.13,63.07,1231000
HEA,340,1.05,330,300,9.5,16.5,27,133.5,297,243,M27,118,198,1.795,17.13,27690,1678,1850,14.4,44.95,7436,495.7,755.9,7.46,74.13,127.2,1824000
HEB,340,1.34,340,300,12,21.5,27,170.9,297,243,M27,122,198,1.81,13.49,36660,2156,2408,14.65,56.09,9690,646,985.7,7.53,86.63,257.2,2454000
HEM,340,2.48,377,309,21,40,27,315.8,297,243,M27,132,204,1.902,7.67,76370,4052,4718,15.55,98.63,19710,1276,1953,7.9,132.6,1506,5584000
HEAA,360,0.837,339,300,9,12,27,106.6,315,261,M27,118,198,1.814,21.67,23040,1359,1495,14.7,42.17,5410,360.7,553,7.12,64.63,70.99,1444000
HEA,360,1.12,350,300,10,17.5,27,142.8,315,261,M27,120,198,1.834,16.36,33090,1891,2088,15.22,48.96,7887,525.8,802.3,7.43,76.63,148.8,2177000
HEB,360,1.42,360,300,12.5,22.5,27,180.6,315,261,M27,122,198,1.849,13.04,43190,2400,2683,15.46,60.6,10140,676.1,1032,7.49,89.13,292.5,2883000
HEM,360,2.5,395,308,21,40,27,318.8,315,261,M27,132,204,1.934,7.73,84870,4297,4989,16.32,102.4,19520,1268,1942,7.83,132.6,1507,6137000
HEAA,400,0.924,378,300,9.5,13,27,117.7,352,298,M27,118,198,1.891,20.46,31250,1654,1824,16.3,47.95,5861,390.8,599.7,7.06,67.13,84.69,1948000
HEA,400,1.25,390,300,11,19,27,159,352,298,M27,120,198,1.912,15.32,45070,2311,2562,16.84,57.33,8564,570.9,872.9,7.34,80.63,189,2942000
HEB,400,1.55,400,300,13.5,24,27,197.8,352,298,M27,124,198,1.927,12.41,57680,2884,3232,17.08,69.98,10820,721.3,1104,7.4,93.13,355.7,3817000
HEM,400,2.56,432,307,21,40,27,325.8,352,298,M27,132,202,2.004,7.835,104100,4820,5571,17.88,110.2,19340,1260,1934,7.7,132.6,1515,7410000
